Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HCC_1_R1	5.189999999999998	48.0	134.7464	147	10.0	20000.0
HCC_1_R2	10.170000000000002	47.0	119.9409	142	30.0	20000.0
HCC_1_clean_R1	5.1905190519051985	48.0	134.6056105610561	147	10.0	19998.0
HCC_1_clean_R2	10.171017101710163	47.0	119.75767576757676	142	30.0	19998.0
HCC_2_R1	3.1000000000000085	48.0	133.4538	147	10.0	5000.0
HCC_2_R2	8.14	48.0	123.4448	142	30.0	5000.0
HCC_2_clean_R1	3.1006201240248004	48.0	133.28445689137828	147	10.0	4999.0
HCC_2_clean_R2	8.141628325665124	48.0	123.31406281256251	142	30.0	4999.0
HCC_3_R1	2.9200000000000017	48.0	132.4176	147	10.0	5000.0
HCC_3_R2	8.52000000000001	47.0	122.3524	142	30.0	5000.0
HCC_3_clean_R1	2.9200000000000017	48.0	132.2946	147	10.0	5000.0
HCC_3_clean_R2	8.52000000000001	47.0	122.2604	142	30.0	5000.0
